code,name,memo,list
4011,ヘッドウォータース,,新高値ブレイク投資
6227,AIメカテック,,新高値ブレイク投資
6855,日本電子材料,,新高値ブレイク投資
4971,メック,,新高値ブレイク投資
135A,VRAIN Solution,,新高値ブレイク投資
558A,SQUEEZE,,新高値ブレイク投資
6145,NITTOKU,,新高値ブレイク投資
6480,日本トムソン,,新高値ブレイク投資
6323,ローツェ,,新高値ブレイク投資
6723,ルネサス,,新高値ブレイク投資|日経225
3040,ソリトン,,新高値ブレイク投資
7735,SCREEN,,新高値ブレイク投資|日経225
3905,データセクション,,新高値ブレイク投資
6521,オキサイド,,新高値ブレイク投資
3993,PKSHA,,監視銘柄
5574,ABEJA,,監視銘柄
247A,AIロボティクス,,監視銘柄
3692,FFRIセキュリティ,,監視銘柄
4414,フレクト,,監視銘柄
4488,AI INSIDE,,監視銘柄
6857,アドバンテスト,,監視銘柄|日経225
8035,東京エレクトロン,,監視銘柄|日経225
6920,レーザーテック,,監視銘柄|日経225
6525,KOKUSAI ELECTRIC,,監視銘柄
6315,TOWA,,監視銘柄
5803,フジクラ,,監視銘柄|日経225
7011,三菱重工,,監視銘柄|日経225
7013,IHI,,監視銘柄|日経225
7003,三井E&S,,監視銘柄
5838,楽天銀行,,監視銘柄
7453,良品計画,,監視銘柄|日経225
9984,ソフトバンクG,,監視銘柄|日経225
6501,日立製作所,,監視銘柄|日経225
5801,古河電気工業,,監視銘柄|日経225
6503,三菱電機,,監視銘柄|日経225
6701,NEC,,監視銘柄|日経225
8306,三菱UFJフィナンシャル・グループ,,監視銘柄|日経225
6702,富士通,,監視銘柄|日経225
5802,住友電気工業,,監視銘柄|日経225
6963,ローム,,監視銘柄|日経225
7721,東京計器,,中小テーマ株
7012,川崎重工業,,中小テーマ株|日経225
464A,QPSホールディングス,QPS研究所から株式移転,中小テーマ株
186A,アストロスケール,,中小テーマ株
4425,Kudan,,中小テーマ株
5016,JX金属,,中小テーマ株
4107,伊勢化学工業,,中小テーマ株
6954,ファナック,,中小テーマ株|日経225
1332,ニッスイ,,日経225
1605,INPEX,,日経225
1721,コムシスホールディングス,,日経225
1801,大成建設,,日経225
1802,大林組,,日経225
1803,清水建設,,日経225
1808,長谷工コーポレーション,,日経225
1812,鹿島建設,,日経225
1925,大和ハウス工業,,日経225
1928,積水ハウス,,日経225
1963,日揮ホールディングス,,日経225
2002,日清製粉グループ本社,,日経225
2269,明治ホールディングス,,日経225
2282,日本ハム,,日経225
2413,エムスリー,,日経225
2432,ディー・エヌ・エー,,日経225
